Kotlin,500,6.0329,0.0094,0.6342
Kotlin,5000,25.9546,0.0083,11.5214
Kotlin,10000,112.1915,0.0096,69.0612
Kotlin,500,0.4318,0.0016,0.1951
Kotlin,5000,30.8019,0.0072,14.6541
Kotlin,10000,115.8111,0.007,58.4782
Kotlin,500,0.2877,0.0019,0.1578
Kotlin,5000,30.7236,0.0043,13.4486
Kotlin,10000,108.405,0.0115,68.2037
Kotlin,500,0.3828,0.0055,0.2196
Kotlin,5000,27.9444,0.0053,14.497
Kotlin,10000,109.1217,0.0102,74.6995
Kotlin,500,0.2973,0.0014,0.1562
Kotlin,5000,25.3927,0.0068,18.7199
Kotlin,10000,116.6583,0.0066,55.6364
Kotlin,500,0.5153,0.0018,0.1697
Kotlin,5000,23.8835,0.0065,13.4155
Kotlin,10000,115.5076,0.0072,62.6597
Kotlin,500,0.2726,9.0E-4,0.1297
Kotlin,5000,24.2445,0.006,14.5723
Kotlin,10000,117.7741,0.0068,57.844
Kotlin,500,0.3323,0.0025,0.1941
Kotlin,5000,33.3542,0.0666,13.6699
Kotlin,10000,110.3566,0.008,49.3732
Kotlin,500,0.2753,8.0E-4,0.1299
Kotlin,5000,26.2774,0.0034,11.5164
Kotlin,10000,112.3341,0.0055,68.3896
Kotlin,500,0.2715,8.0E-4,0.1282
Kotlin,5000,22.9307,0.0045,12.0956
Kotlin,10000,102.0088,0.0078,48.599
Kotlin,500,0.2743,9.0E-4,0.1296
Kotlin,5000,22.8525,0.0034,13.4305
Kotlin,10000,120.3177,0.0053,52.4308
Kotlin,500,0.2773,9.0E-4,0.154
Kotlin,5000,33.9928,0.0071,18.5197
Kotlin,10000,126.553,0.0117,86.1156
Kotlin,500,0.3886,0.0011,0.1798
Kotlin,5000,54.9136,0.0094,22.5559
Kotlin,10000,141.33,0.0072,74.7885
Kotlin,500,0.331,0.0013,0.1645
Kotlin,5000,29.032,0.0043,14.4771
Kotlin,10000,139.1126,0.0064,85.9065
Kotlin,500,0.353,0.0018,0.164
Kotlin,5000,35.362,0.0091,17.9528
Kotlin,10000,150.5516,0.0056,75.8475
Kotlin,500,0.7236,0.0021,0.338
Kotlin,5000,48.6974,0.0046,18.2554
Kotlin,10000,139.5218,0.0094,57.5909
Kotlin,500,0.3487,0.0011,0.1641
Kotlin,5000,43.3631,0.0083,26.4622
