language,array_size,t_random_order,t_asc_order,t_des_order
Kotlin,5000,24.4581,0.0021,12.3446
Kotlin,10000,103.9885,0.0045,52.3857
Kotlin,500,0.2753,3.0E-4,0.1287
Kotlin,5000,24.8758,0.0019,12.0084
Kotlin,10000,111.977,0.0041,45.2768
Kotlin,500,0.2668,3.0E-4,0.1612
Kotlin,5000,25.4361,0.002,13.3109
Kotlin,10000,103.8244,0.0044,48.8712
Kotlin,500,0.2637,4.0E-4,0.1277
Kotlin,5000,70.7779,0.0021,14.1164
Kotlin,10000,108.8826,0.0037,46.726
Kotlin,500,0.4629,6.0E-4,0.3199
Kotlin,5000,38.5763,0.004,11.6798
Kotlin,10000,107.1638,0.004,46.4631
Kotlin,500,0.2712,3.0E-4,0.1287
Kotlin,5000,23.4343,0.0028,13.1219
Kotlin,10000,117.8957,0.0064,56.6208
Kotlin,500,0.2846,3.0E-4,0.1284
Kotlin,5000,23.9484,0.0021,11.8272
Kotlin,10000,112.7807,0.0035,57.7483
Kotlin,500,0.2744,3.0E-4,0.13
Kotlin,5000,23.6097,0.002,12.4049
Kotlin,10000,148.0917,0.007,79.5379
Kotlin,500,0.323,4.0E-4,0.2066
Kotlin,5000,31.2141,0.0039,16.9971
Kotlin,10000,209.8334,0.0062,68.2917
Kotlin,500,0.3051,4.0E-4,0.159
Kotlin,5000,82.7174,0.0022,14.8544
Kotlin,10000,132.0526,0.0062,48.4934
Kotlin,500,0.2783,3.0E-4,0.1306
Kotlin,5000,23.8817,0.0022,13.9084
Kotlin,10000,107.2399,0.0039,46.3428
Kotlin,500,0.2687,3.0E-4,0.1294
Kotlin,5000,23.1447,0.002,12.1403
Kotlin,10000,109.8751,0.0057,64.0034
Kotlin,500,0.2826,3.0E-4,0.1556
Kotlin,5000,24.2786,0.002,44.6848
Kotlin,10000,110.4518,0.0038,48.5876
Kotlin,500,0.341,5.0E-4,0.2046
Kotlin,5000,25.6401,0.0021,14.3437
Kotlin,10000,135.8013,0.0041,49.7246
Kotlin,500,0.311,3.0E-4,0.1302
Kotlin,5000,25.9117,0.0023,14.499
Kotlin,10000,108.883,0.0059,58.0786
Kotlin,500,0.378,5.0E-4,0.2029
Kotlin,5000,25.549,0.0021,13.5639
Kotlin,10000,106.5857,0.0053,51.4052
Kotlin,500,0.2718,2.0E-4,0.135
Kotlin,5000,23.2408,0.0021,11.8136
Kotlin,10000,107.4331,0.0045,50.5774
Kotlin,500,0.2742,4.0E-4,0.1189
Kotlin,5000,23.3158,0.0021,13.569
Kotlin,10000,111.8258,0.0039,48.2652
Kotlin,500,0.2734,3.0E-4,0.1268
Kotlin,5000,23.3035,0.002,12.092
Kotlin,10000,105.6401,0.0039,47.7079
Kotlin,500,0.2712,3.0E-4,0.1341
Kotlin,5000,23.2797,0.002,11.6851
Kotlin,10000,103.4827,0.0041,51.6409
Kotlin,500,0.2836,4.0E-4,0.1325
Kotlin,5000,23.4921,0.0022,12.0369
Kotlin,10000,105.282,0.0035,48.4032
Kotlin,500,0.2785,3.0E-4,0.1299
Kotlin,5000,25.5055,0.0021,13.6464
Kotlin,10000,109.4729,0.004,49.7171
Kotlin,500,0.275,3.0E-4,0.1291
Kotlin,5000,25.1777,0.0023,14.7993
Kotlin,10000,106.6543,0.0046,60.5205
Kotlin,500,0.2728,3.0E-4,0.1293
Kotlin,5000,24.0598,0.0023,14.671
Kotlin,10000,108.6943,0.0035,49.7754
Kotlin,500,0.274,3.0E-4,0.1283
Kotlin,5000,24.7492,0.0021,12.0493
Kotlin,10000,104.2877,0.0039,46.8747
Kotlin,500,0.4157,4.0E-4,0.1897
Kotlin,5000,25.9162,0.002,13.3959
Kotlin,10000,107.1402,0.0044,52.7443
Kotlin,500,0.4149,4.0E-4,0.193
Kotlin,5000,24.9277,0.0021,11.4116
Kotlin,10000,110.8479,0.0039,48.5921
Kotlin,500,0.2786,3.0E-4,0.1341
Kotlin,5000,25.7075,0.0029,11.8219
Kotlin,10000,101.8802,0.0033,54.2991
Kotlin,500,0.4097,4.0E-4,0.161
Kotlin,5000,25.006,0.002,12.2036
Kotlin,10000,106.4282,0.004,48.4659
Kotlin,500,0.2739,2.0E-4,0.1283
Kotlin,5000,23.3082,0.002,11.39
Kotlin,10000,102.7341,0.0045,56.6176
Kotlin,500,0.4042,5.0E-4,0.1906
Kotlin,5000,24.7731,0.0022,12.2726
Kotlin,10000,106.0543,0.0039,51.4093
Kotlin,500,0.2694,2.0E-4,0.1278
Kotlin,5000,27.2983,0.0021,11.5188
Kotlin,10000,105.9337,0.0039,49.7052
Kotlin,500,0.2715,3.0E-4,0.1267
Kotlin,5000,23.171,0.002,13.306
Kotlin,10000,103.8052,0.004,48.8384
Kotlin,500,0.2989,4.0E-4,0.1565
Kotlin,5000,26.5293,0.002,14.7019
Kotlin,10000,111.2057,0.004,48.4286
Kotlin,500,0.2768,3.0E-4,0.1281
Kotlin,5000,24.0742,0.0021,12.9266
Kotlin,10000,112.2992,0.0058,61.3267
Kotlin,500,0.2951,4.0E-4,0.1586
Kotlin,5000,29.6884,0.0033,16.7058
Kotlin,10000,117.0071,0.0039,55.5001
Kotlin,500,0.2982,3.0E-4,0.1831
Kotlin,5000,29.7001,0.0028,12.7555
Kotlin,10000,111.5409,0.0045,66.5896
Kotlin,500,0.3669,4.0E-4,0.1897
Kotlin,5000,26.9359,0.0025,15.9863
Kotlin,10000,214.6706,0.0057,68.7445
Kotlin,500,0.2966,5.0E-4,0.1596
Kotlin,5000,28.0816,0.0023,15.5661
Kotlin,10000,125.988,0.004,77.7762
Kotlin,500,0.2997,3.0E-4,0.1577
Kotlin,5000,30.9299,0.0037,17.6001
Kotlin,10000,115.8615,0.004,61.3504
Kotlin,500,0.2771,2.0E-4,0.1366
Kotlin,5000,28.3777,0.0033,14.7962
Kotlin,10000,158.7681,0.0063,130.1994
Kotlin,500,0.3267,4.0E-4,0.183
Kotlin,5000,31.5962,0.0038,17.9172
Kotlin,10000,117.612,0.0043,51.0512
Kotlin,500,0.2757,3.0E-4,0.1299
Kotlin,5000,28.3799,0.0028,12.4527
Kotlin,10000,106.3788,0.0052,53.1999
Kotlin,500,0.2813,3.0E-4,0.1264
Kotlin,5000,23.3345,0.0021,11.585
Kotlin,10000,107.5712,0.0052,78.9415
Kotlin,500,0.3653,5.0E-4,0.2473
Kotlin,5000,31.7232,0.0026,15.4923
Kotlin,10000,119.1255,0.0059,55.3442
Kotlin,500,0.2891,3.0E-4,0.1594
Kotlin,5000,28.2005,0.0023,19.3783
Kotlin,10000,139.3831,0.0047,58.4312
Kotlin,500,0.2764,2.0E-4,0.13
Kotlin,5000,24.6174,0.0021,12.1315
Kotlin,10000,108.0754,0.0041,55.049
Kotlin,500,0.2931,3.0E-4,0.1593
Kotlin,5000,23.9487,0.002,11.4077
Kotlin,10000,124.22,0.006,56.9878
Kotlin,500,0.2773,4.0E-4,0.1586
Kotlin,5000,25.1003,0.0021,14.9748
Kotlin,10000,121.0867,0.009,73.2193
Kotlin,500,0.2916,3.0E-4,0.1566
Kotlin,5000,25.6571,0.0024,14.9864
Kotlin,10000,137.8181,0.0045,80.8694
Kotlin,500,0.3586,6.0E-4,0.1953
Kotlin,5000,32.7851,0.0039,27.1175
Kotlin,10000,183.7609,0.0045,98.9663
Kotlin,500,0.2958,3.0E-4,0.1597
Kotlin,5000,31.2431,0.0027,20.0539
Kotlin,10000,119.0229,0.0046,58.8524
Kotlin,500,0.2879,3.0E-4,0.1593
Kotlin,5000,24.7775,0.0029,14.3571
Kotlin,10000,108.7677,0.0041,47.9517
Kotlin,500,0.2713,3.0E-4,0.1297
Kotlin,5000,23.5956,0.0021,12.0104
Kotlin,10000,118.2203,0.0054,70.6989
Kotlin,500,0.3001,3.0E-4,0.1575
Kotlin,5000,27.7443,0.0023,15.1862
Kotlin,10000,138.2418,0.0061,89.5161
Kotlin,500,0.3581,5.0E-4,0.2014
Kotlin,5000,39.0049,0.003,16.1863
Kotlin,10000,132.2338,0.004,64.7027
